generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
50,1000,913.6,1004.0,1.0,1.0,1.0,3,37.754
100,1000,799.9272727272727,1002.0,1.0,1.0,1.0,3,75.552
150,1000,790.1454545454545,986.0,1.0,1.0,1.0,3,113.56
200,1000,737.4,1008.0,1.0,1.0,1.0,3,150.873
250,1000,794.1636363636363,996.0,1.0,1.0,1.0,4,188.597
300,1000,830.9090909090909,990.0,1.0,1.0,1.0,3,225.802
350,1000,730.9636363636364,1003.0,1.0,1.0,1.0,2,263.481
400,1000,581.4909090909091,984.0,1.0,1.0,1.0,4,301.2
450,1000,781.0,1002.0,1.0,1.0,1.0,3,337.694
500,1000,704.6727272727272,990.0,1.0,1.0,1.0,4,375.466
