replicate,level_type,level_value,dimension,birth,death,length
1,scarcity,0.2,0,0.0,1.0,1.0
1,scarcity,0.3,0,0.0,1.0,1.0
1,scarcity,0.3,0,0.0,1.0,1.0
1,scarcity,0.4,0,0.0,1.0,1.0
1,scarcity,0.4,0,0.0,1.0,1.0
1,scarcity,0.4,0,0.0,1.0,1.0
1,scarcity,0.4,0,0.0,1.0,1.0
1,scarcity,0.4,0,0.0,1.0,1.0
1,scarcity,0.5,0,0.0,1.0,1.0
1,scarcity,0.5,0,0.0,1.0,1.0
1,scarcity,0.5,0,0.0,1.0,1.0
1,scarcity,0.6,0,0.0,1.0,1.0
1,scarcity,0.6,0,0.0,1.0,1.0
1,scarcity,0.6,0,0.0,1.0,1.0
1,scarcity,0.6,0,0.0,1.0,1.0
1,scarcity,0.6,0,0.0,1.0,1.0
1,scarcity,0.6,0,0.0,1.0,1.0
1,scarcity,0.6,0,0.0,2.0,2.0
1,scarcity,0.7,0,0.0,1.0,1.0
1,scarcity,0.7,0,0.0,1.0,1.0
1,scarcity,0.7,0,0.0,1.0,1.0
1,scarcity,0.7,0,0.0,1.0,1.0
1,scarcity,0.7,0,0.0,1.0,1.0
1,scarcity,0.7,0,0.0,1.0,1.0
1,scarcity,0.7,0,0.0,2.0,2.0
1,scarcity,0.7,0,0.0,2.0,2.0
1,scarcity,0.8,0,0.0,1.0,1.0
1,scarcity,0.8,0,0.0,1.0,1.0
1,scarcity,0.8,0,0.0,1.0,1.0
1,scarcity,0.8,0,0.0,1.0,1.0
1,scarcity,0.8,0,0.0,1.0,1.0
1,scarcity,0.8,0,0.0,1.0,1.0
1,scarcity,0.8,0,0.0,1.0,1.0
1,scarcity,0.8,0,0.0,1.0,1.0
1,scarcity,0.8,0,0.0,1.0,1.0
1,scarcity,0.8,0,0.0,1.0,1.0
1,scarcity,0.8,0,0.0,1.0,1.0
1,scarcity,0.8,0,0.0,1.0,1.0
1,scarcity,0.8,0,0.0,2.0,2.0
1,scarcity,0.8,1,1.0,2.0,1.0
1,scarcity,0.9,0,0.0,1.0,1.0
1,scarcity,0.9,0,0.0,1.0,1.0
1,scarcity,0.9,0,0.0,1.0,1.0
1,scarcity,0.9,0,0.0,1.0,1.0
1,scarcity,0.9,0,0.0,1.0,1.0
1,scarcity,0.9,0,0.0,1.0,1.0
1,scarcity,0.9,0,0.0,1.0,1.0
1,scarcity,0.9,0,0.0,1.0,1.0
1,scarcity,0.9,0,0.0,1.0,1.0
1,scarcity,0.9,0,0.0,1.0,1.0
1,scarcity,0.9,0,0.0,1.0,1.0
1,scarcity,0.9,0,0.0,1.0,1.0
1,scarcity,0.9,0,0.0,1.0,1.0
1,scarcity,0.9,0,0.0,2.0,2.0
1,scarcity,1.0,0,0.0,1.0,1.0
1,scarcity,1.0,0,0.0,1.0,1.0
1,scarcity,1.0,0,0.0,1.0,1.0
1,scarcity,1.0,0,0.0,1.0,1.0
1,scarcity,1.0,0,0.0,1.0,1.0
1,scarcity,1.0,0,0.0,1.0,1.0
1,scarcity,1.0,0,0.0,1.0,1.0
1,scarcity,1.0,0,0.0,1.0,1.0
1,scarcity,1.0,0,0.0,1.0,1.0
1,scarcity,1.0,0,0.0,1.0,1.0
1,scarcity,1.0,0,0.0,1.0,1.0
1,scarcity,1.0,0,0.0,1.0,1.0
1,scarcity,1.0,0,0.0,1.0,1.0
1,scarcity,1.0,0,0.0,1.0,1.0
1,scarcity,1.0,0,0.0,1.0,1.0
1,scarcity,1.0,0,0.0,2.0,2.0
1,scarcity,1.0,0,0.0,2.0,2.0
1,scarcity,1.0,1,1.0,2.0,1.0
2,scarcity,0.2,0,0.0,1.0,1.0
2,scarcity,0.2,0,0.0,1.0,1.0
2,scarcity,0.4,0,0.0,1.0,1.0
2,scarcity,0.4,0,0.0,1.0,1.0
2,scarcity,0.4,0,0.0,1.0,1.0
2,scarcity,0.4,0,0.0,1.0,1.0
2,scarcity,0.4,0,0.0,1.0,1.0
2,scarcity,0.4,0,0.0,1.0,1.0
2,scarcity,0.4,0,0.0,1.0,1.0
2,scarcity,0.4,0,0.0,1.0,1.0
2,scarcity,0.4,0,0.0,1.0,1.0
2,scarcity,0.5,0,0.0,1.0,1.0
2,scarcity,0.5,0,0.0,1.0,1.0
2,scarcity,0.5,0,0.0,1.0,1.0
2,scarcity,0.5,0,0.0,1.0,1.0
2,scarcity,0.5,0,0.0,2.0,2.0
2,scarcity,0.5,0,0.0,2.0,2.0
2,scarcity,0.6,0,0.0,1.0,1.0
2,scarcity,0.6,0,0.0,1.0,1.0
2,scarcity,0.6,0,0.0,1.0,1.0
2,scarcity,0.6,0,0.0,1.0,1.0
2,scarcity,0.6,0,0.0,1.0,1.0
2,scarcity,0.6,0,0.0,1.0,1.0
2,scarcity,0.6,0,0.0,2.0,2.0
2,scarcity,0.7,0,0.0,1.0,1.0
2,scarcity,0.7,0,0.0,1.0,1.0
2,scarcity,0.7,0,0.0,1.0,1.0
2,scarcity,0.7,0,0.0,1.0,1.0
2,scarcity,0.7,0,0.0,1.0,1.0
2,scarcity,0.7,0,0.0,1.0,1.0
2,scarcity,0.7,0,0.0,1.0,1.0
2,scarcity,0.7,0,0.0,2.0,2.0
2,scarcity,0.8,0,0.0,1.0,1.0
2,scarcity,0.8,0,0.0,1.0,1.0
2,scarcity,0.8,0,0.0,1.0,1.0
2,scarcity,0.8,0,0.0,1.0,1.0
2,scarcity,0.8,0,0.0,1.0,1.0
2,scarcity,0.8,0,0.0,1.0,1.0
2,scarcity,0.8,0,0.0,1.0,1.0
2,scarcity,0.8,0,0.0,1.0,1.0
2,scarcity,0.8,0,0.0,1.0,1.0
2,scarcity,0.8,0,0.0,1.0,1.0
2,scarcity,0.8,0,0.0,2.0,2.0
2,scarcity,0.9,0,0.0,1.0,1.0
2,scarcity,0.9,0,0.0,1.0,1.0
2,scarcity,0.9,0,0.0,1.0,1.0
2,scarcity,0.9,0,0.0,1.0,1.0
2,scarcity,0.9,0,0.0,1.0,1.0
2,scarcity,0.9,0,0.0,1.0,1.0
2,scarcity,0.9,0,0.0,1.0,1.0
2,scarcity,0.9,0,0.0,1.0,1.0
2,scarcity,0.9,0,0.0,1.0,1.0
2,scarcity,0.9,0,0.0,1.0,1.0
2,scarcity,0.9,0,0.0,1.0,1.0
2,scarcity,0.9,0,0.0,1.0,1.0
2,scarcity,0.9,0,0.0,1.0,1.0
2,scarcity,0.9,0,0.0,2.0,2.0
2,scarcity,1.0,0,0.0,1.0,1.0
2,scarcity,1.0,0,0.0,1.0,1.0
