group,dimension,birth,death,length
mixed,0,0.0,0.03125,0.03125
mixed,0,0.0,0.15625,0.15625
mixed,0,0.0,0.1875,0.1875
mixed,0,0.0,0.1875,0.1875
mixed,0,0.0,0.21875,0.21875
mixed,0,0.0,0.25,0.25
mixed,0,0.0,0.25,0.25
mixed,0,0.0,0.25,0.25
mixed,0,0.0,0.28125,0.28125
mixed,0,0.0,0.28125,0.28125
mixed,0,0.0,0.28125,0.28125
mixed,0,0.0,0.28125,0.28125
mixed,0,0.0,0.28125,0.28125
mixed,0,0.0,0.3125,0.3125
mixed,0,0.0,0.3125,0.3125
mixed,0,0.0,0.3125,0.3125
mixed,0,0.0,0.3125,0.3125
mixed,0,0.0,0.3125,0.3125
mixed,0,0.0,0.34375,0.34375
mixed,0,0.0,0.34375,0.34375
mixed,0,0.0,0.40625,0.40625
mixed,0,0.0,0.4375,0.4375
mixed,0,0.0,0.46875,0.46875
mixed,1,0.375,0.40625,0.03125
mixed,1,0.375,0.40625,0.03125
mixed,1,0.375,0.40625,0.03125
mixed,1,0.34375,0.375,0.03125
mixed,1,0.34375,0.375,0.03125
mixed,1,0.3125,0.34375,0.03125
mixed,1,0.3125,0.375,0.0625
mixed,1,0.28125,0.3125,0.03125
mixed,1,0.28125,0.3125,0.03125
mixed,2,0.40625,0.4375,0.03125
mixed,2,0.375,0.40625,0.03125
mixed,2,0.375,0.40625,0.03125
