country,group,dimension,birth,death,length
China,mixed,0,0,0.030303031,0.030303031
China,mixed,0,0,0.151515156,0.151515156
China,mixed,0,0,0.151515156,0.151515156
China,mixed,0,0,0.181818187,0.181818187
China,mixed,0,0,0.181818187,0.181818187
China,mixed,0,0,0.181818187,0.181818187
China,mixed,0,0,0.212121218,0.212121218
China,mixed,0,0,0.212121218,0.212121218
China,mixed,0,0,0.212121218,0.212121218
China,mixed,0,0,0.212121218,0.212121218
China,mixed,0,0,0.212121218,0.212121218
China,mixed,0,0,0.212121218,0.212121218
China,mixed,0,0,0.24242425,0.24242425
China,mixed,0,0,0.24242425,0.24242425
China,mixed,0,0,0.24242425,0.24242425
China,mixed,0,0,0.24242425,0.24242425
China,mixed,0,0,0.24242425,0.24242425
China,mixed,0,0,0.24242425,0.24242425
China,mixed,0,0,0.24242425,0.24242425
China,mixed,0,0,0.24242425,0.24242425
China,mixed,0,0,0.24242425,0.24242425
China,mixed,0,0,0.24242425,0.24242425
China,mixed,0,0,0.272727281,0.272727281
China,mixed,0,0,0.272727281,0.272727281
China,mixed,0,0,0.272727281,0.272727281
China,mixed,0,0,0.606060624,0.606060624
China,mixed,1,0.333333343,0.393939406,0.060606062
China,mixed,1,0.272727281,0.333333343,0.060606062
China,mixed,1,0.272727281,0.303030312,0.030303031
China,mixed,1,0.272727281,0.303030312,0.030303031
China,mixed,1,0.272727281,0.303030312,0.030303031
China,mixed,1,0.24242425,0.272727281,0.030303031
China,mixed,1,0.24242425,0.272727281,0.030303031
China,mixed,2,0.393939406,0.424242437,0.030303031
China,nonrecombinant,0,0,0.030303031,0.030303031
China,nonrecombinant,0,0,0.151515156,0.151515156
China,nonrecombinant,0,0,0.151515156,0.151515156
China,nonrecombinant,0,0,0.181818187,0.181818187
China,nonrecombinant,0,0,0.181818187,0.181818187
China,nonrecombinant,0,0,0.181818187,0.181818187
China,nonrecombinant,0,0,0.212121218,0.212121218
China,nonrecombinant,0,0,0.212121218,0.212121218
China,nonrecombinant,0,0,0.212121218,0.212121218
China,nonrecombinant,0,0,0.212121218,0.212121218
China,nonrecombinant,0,0,0.212121218,0.212121218
China,nonrecombinant,0,0,0.212121218,0.212121218
China,nonrecombinant,0,0,0.24242425,0.24242425
China,nonrecombinant,0,0,0.24242425,0.24242425
China,nonrecombinant,0,0,0.24242425,0.24242425
China,nonrecombinant,0,0,0.24242425,0.24242425
China,nonrecombinant,0,0,0.24242425,0.24242425
China,nonrecombinant,0,0,0.24242425,0.24242425
China,nonrecombinant,0,0,0.24242425,0.24242425
China,nonrecombinant,0,0,0.24242425,0.24242425
China,nonrecombinant,0,0,0.24242425,0.24242425
China,nonrecombinant,0,0,0.24242425,0.24242425
China,nonrecombinant,0,0,0.272727281,0.272727281
China,nonrecombinant,0,0,0.272727281,0.272727281
China,nonrecombinant,0,0,0.272727281,0.272727281
China,nonrecombinant,0,0,0.606060624,0.606060624
