country,group,dimension,birth,death,length
UK,mixed,0,0,0.256410271,0.256410271
UK,mixed,0,0,0.282051295,0.282051295
UK,mixed,0,0,0.282051295,0.282051295
UK,mixed,0,0,0.294871807,0.294871807
UK,mixed,0,0,0.307692319,0.307692319
UK,mixed,0,0,0.307692319,0.307692319
UK,mixed,0,0,0.320512831,0.320512831
UK,mixed,0,0,0.320512831,0.320512831
UK,mixed,0,0,0.320512831,0.320512831
UK,mixed,0,0,0.346153855,0.346153855
UK,mixed,0,0,0.358974367,0.358974367
UK,mixed,0,0,0.589743614,0.589743614
UK,mixed,1,0.320512831,0.333333343,0.012820512
UK,mixed,1,0.320512831,0.371794879,0.051282048
UK,nonrecombinant,0,0,0.256410271,0.256410271
UK,nonrecombinant,0,0,0.282051295,0.282051295
UK,nonrecombinant,0,0,0.282051295,0.282051295
UK,nonrecombinant,0,0,0.294871807,0.294871807
UK,nonrecombinant,0,0,0.307692319,0.307692319
UK,nonrecombinant,0,0,0.307692319,0.307692319
UK,nonrecombinant,0,0,0.320512831,0.320512831
UK,nonrecombinant,0,0,0.320512831,0.320512831
UK,nonrecombinant,0,0,0.320512831,0.320512831
UK,nonrecombinant,0,0,0.346153855,0.346153855
UK,nonrecombinant,0,0,0.358974367,0.358974367
UK,nonrecombinant,0,0,0.589743614,0.589743614
UK,nonrecombinant,1,0.320512831,0.333333343,0.012820512
UK,nonrecombinant,1,0.320512831,0.371794879,0.051282048
UK,recombinant,0,0,0.256410271,0.256410271
UK,recombinant,0,0,0.282051295,0.282051295
UK,recombinant,0,0,0.282051295,0.282051295
UK,recombinant,0,0,0.294871807,0.294871807
UK,recombinant,0,0,0.307692319,0.307692319
UK,recombinant,0,0,0.307692319,0.307692319
UK,recombinant,0,0,0.320512831,0.320512831
UK,recombinant,0,0,0.320512831,0.320512831
UK,recombinant,0,0,0.320512831,0.320512831
UK,recombinant,0,0,0.346153855,0.346153855
UK,recombinant,0,0,0.358974367,0.358974367
UK,recombinant,0,0,0.589743614,0.589743614
UK,recombinant,1,0.320512831,0.333333343,0.012820512
UK,recombinant,1,0.320512831,0.371794879,0.051282048
USA,mixed,0,0,0.03125,0.03125
USA,mixed,0,0,0.15625,0.15625
USA,mixed,0,0,0.1875,0.1875
USA,mixed,0,0,0.1875,0.1875
USA,mixed,0,0,0.21875,0.21875
USA,mixed,0,0,0.25,0.25
USA,mixed,0,0,0.25,0.25
USA,mixed,0,0,0.25,0.25
USA,mixed,0,0,0.28125,0.28125
USA,mixed,0,0,0.28125,0.28125
USA,mixed,0,0,0.28125,0.28125
USA,mixed,0,0,0.28125,0.28125
USA,mixed,0,0,0.28125,0.28125
USA,mixed,0,0,0.3125,0.3125
USA,mixed,0,0,0.3125,0.3125
USA,mixed,0,0,0.3125,0.3125
USA,mixed,0,0,0.3125,0.3125
USA,mixed,0,0,0.3125,0.3125
USA,mixed,0,0,0.34375,0.34375
USA,mixed,0,0,0.34375,0.34375
USA,mixed,0,0,0.40625,0.40625
USA,mixed,0,0,0.4375,0.4375
USA,mixed,0,0,0.46875,0.46875
USA,mixed,1,0.375,0.40625,0.03125
USA,mixed,1,0.375,0.40625,0.03125
USA,mixed,1,0.375,0.40625,0.03125
USA,mixed,1,0.34375,0.375,0.03125
USA,mixed,1,0.34375,0.375,0.03125
USA,mixed,1,0.3125,0.34375,0.03125
USA,mixed,1,0.3125,0.375,0.0625
USA,mixed,1,0.28125,0.3125,0.03125
USA,mixed,1,0.28125,0.3125,0.03125
USA,mixed,2,0.40625,0.4375,0.03125
USA,mixed,2,0.375,0.40625,0.03125
USA,mixed,2,0.375,0.40625,0.03125
USA,nonrecombinant,0,0,0.03125,0.03125
USA,nonrecombinant,0,0,0.15625,0.15625
USA,nonrecombinant,0,0,0.1875,0.1875
USA,nonrecombinant,0,0,0.1875,0.1875
USA,nonrecombinant,0,0,0.21875,0.21875
USA,nonrecombinant,0,0,0.25,0.25
USA,nonrecombinant,0,0,0.25,0.25
USA,nonrecombinant,0,0,0.25,0.25
USA,nonrecombinant,0,0,0.28125,0.28125
USA,nonrecombinant,0,0,0.28125,0.28125
USA,nonrecombinant,0,0,0.28125,0.28125
USA,nonrecombinant,0,0,0.28125,0.28125
USA,nonrecombinant,0,0,0.28125,0.28125
USA,nonrecombinant,0,0,0.3125,0.3125
USA,nonrecombinant,0,0,0.3125,0.3125
USA,nonrecombinant,0,0,0.3125,0.3125
USA,nonrecombinant,0,0,0.3125,0.3125
USA,nonrecombinant,0,0,0.3125,0.3125
USA,nonrecombinant,0,0,0.34375,0.34375
USA,nonrecombinant,0,0,0.34375,0.34375
USA,nonrecombinant,0,0,0.40625,0.40625
USA,nonrecombinant,0,0,0.4375,0.4375
USA,nonrecombinant,0,0,0.46875,0.46875
USA,nonrecombinant,1,0.375,0.40625,0.03125
USA,nonrecombinant,1,0.375,0.40625,0.03125
USA,nonrecombinant,1,0.375,0.40625,0.03125
USA,nonrecombinant,1,0.34375,0.375,0.03125
USA,nonrecombinant,1,0.34375,0.375,0.03125
USA,nonrecombinant,1,0.3125,0.34375,0.03125
USA,nonrecombinant,1,0.3125,0.375,0.0625
USA,nonrecombinant,1,0.28125,0.3125,0.03125
USA,nonrecombinant,1,0.28125,0.3125,0.03125
USA,nonrecombinant,2,0.40625,0.4375,0.03125
USA,nonrecombinant,2,0.375,0.40625,0.03125
USA,nonrecombinant,2,0.375,0.40625,0.03125
USA,recombinant,0,0,0.03125,0.03125
USA,recombinant,0,0,0.15625,0.15625
USA,recombinant,0,0,0.1875,0.1875
USA,recombinant,0,0,0.1875,0.1875
USA,recombinant,0,0,0.21875,0.21875
USA,recombinant,0,0,0.25,0.25
USA,recombinant,0,0,0.25,0.25
USA,recombinant,0,0,0.25,0.25
USA,recombinant,0,0,0.28125,0.28125
USA,recombinant,0,0,0.28125,0.28125
USA,recombinant,0,0,0.28125,0.28125
USA,recombinant,0,0,0.28125,0.28125
USA,recombinant,0,0,0.28125,0.28125
USA,recombinant,0,0,0.3125,0.3125
USA,recombinant,0,0,0.3125,0.3125
USA,recombinant,0,0,0.3125,0.3125
USA,recombinant,0,0,0.3125,0.3125
USA,recombinant,0,0,0.3125,0.3125
USA,recombinant,0,0,0.34375,0.34375
USA,recombinant,0,0,0.34375,0.34375
USA,recombinant,0,0,0.40625,0.40625
USA,recombinant,0,0,0.4375,0.4375
USA,recombinant,0,0,0.46875,0.46875
USA,recombinant,1,0.375,0.40625,0.03125
USA,recombinant,1,0.375,0.40625,0.03125
USA,recombinant,1,0.375,0.40625,0.03125
USA,recombinant,1,0.34375,0.375,0.03125
USA,recombinant,1,0.34375,0.375,0.03125
USA,recombinant,1,0.3125,0.34375,0.03125
USA,recombinant,1,0.3125,0.375,0.0625
USA,recombinant,1,0.28125,0.3125,0.03125
USA,recombinant,1,0.28125,0.3125,0.03125
USA,recombinant,2,0.40625,0.4375,0.03125
USA,recombinant,2,0.375,0.40625,0.03125
USA,recombinant,2,0.375,0.40625,0.03125
