country,group,dimension,birth,death,length
UK,mixed,0,0,0.5,0.5
UK,mixed,0,0,0.5,0.5
UK,mixed,0,0,0.5,0.5
UK,mixed,1,0.5,1,0.5
UK,nonrecombinant,0,0,0.5,0.5
UK,nonrecombinant,0,0,0.5,0.5
UK,nonrecombinant,0,0,0.5,0.5
UK,nonrecombinant,1,0.5,1,0.5
UK,recombinant,0,0,0.5,0.5
UK,recombinant,0,0,0.5,0.5
UK,recombinant,0,0,0.5,0.5
UK,recombinant,1,0.5,1,0.5
USA,mixed,0,0,0.032258064,0.032258064
USA,mixed,0,0,0.129032254,0.129032254
USA,mixed,0,0,0.161290318,0.161290318
USA,mixed,0,0,0.161290318,0.161290318
USA,mixed,0,0,0.193548381,0.193548381
USA,mixed,0,0,0.193548381,0.193548381
USA,mixed,0,0,0.193548381,0.193548381
USA,mixed,0,0,0.193548381,0.193548381
USA,mixed,0,0,0.193548381,0.193548381
USA,mixed,0,0,0.193548381,0.193548381
USA,mixed,0,0,0.193548381,0.193548381
USA,mixed,0,0,0.193548381,0.193548381
USA,mixed,0,0,0.225806445,0.225806445
USA,mixed,0,0,0.225806445,0.225806445
USA,mixed,0,0,0.225806445,0.225806445
USA,mixed,0,0,0.225806445,0.225806445
USA,mixed,0,0,0.225806445,0.225806445
USA,mixed,0,0,0.225806445,0.225806445
USA,mixed,0,0,0.225806445,0.225806445
USA,mixed,0,0,0.225806445,0.225806445
USA,mixed,0,0,0.258064508,0.258064508
USA,mixed,0,0,0.258064508,0.258064508
USA,mixed,0,0,0.258064508,0.258064508
USA,mixed,0,0,0.258064508,0.258064508
USA,mixed,0,0,0.258064508,0.258064508
USA,mixed,0,0,0.258064508,0.258064508
USA,mixed,0,0,0.258064508,0.258064508
USA,mixed,0,0,0.258064508,0.258064508
USA,mixed,0,0,0.290322572,0.290322572
USA,mixed,0,0,0.290322572,0.290322572
USA,mixed,0,0,0.290322572,0.290322572
USA,mixed,0,0,0.290322572,0.290322572
USA,mixed,0,0,0.290322572,0.290322572
USA,mixed,0,0,0.290322572,0.290322572
USA,mixed,0,0,0.290322572,0.290322572
USA,mixed,0,0,0.290322572,0.290322572
USA,mixed,0,0,0.290322572,0.290322572
USA,mixed,0,0,0.322580636,0.322580636
USA,mixed,0,0,0.322580636,0.322580636
USA,mixed,0,0,0.322580636,0.322580636
USA,mixed,0,0,0.322580636,0.322580636
USA,mixed,0,0,0.322580636,0.322580636
USA,mixed,0,0,0.354838699,0.354838699
USA,mixed,0,0,0.354838699,0.354838699
USA,mixed,0,0,0.387096763,0.387096763
USA,mixed,1,0.354838699,0.387096763,0.032258064
USA,mixed,1,0.354838699,0.419354826,0.064516127
USA,mixed,1,0.354838699,0.387096763,0.032258064
USA,mixed,1,0.322580636,0.354838699,0.032258064
USA,mixed,1,0.322580636,0.354838699,0.032258064
USA,mixed,1,0.322580636,0.354838699,0.032258064
USA,mixed,1,0.290322572,0.322580636,0.032258064
USA,mixed,1,0.290322572,0.322580636,0.032258064
USA,mixed,1,0.290322572,0.322580636,0.032258064
USA,mixed,1,0.290322572,0.322580636,0.032258064
USA,mixed,1,0.290322572,0.322580636,0.032258064
USA,mixed,1,0.290322572,0.322580636,0.032258064
USA,mixed,1,0.290322572,0.354838699,0.064516127
USA,mixed,1,0.258064508,0.290322572,0.032258064
USA,mixed,1,0.258064508,0.322580636,0.064516127
USA,mixed,1,0.258064508,0.322580636,0.064516127
USA,mixed,1,0.258064508,0.290322572,0.032258064
USA,mixed,1,0.225806445,0.258064508,0.032258064
USA,mixed,1,0.225806445,0.258064508,0.032258064
USA,mixed,1,0.225806445,0.258064508,0.032258064
USA,mixed,1,0.225806445,0.258064508,0.032258064
USA,mixed,2,0.354838699,0.387096763,0.032258064
USA,mixed,2,0.354838699,0.387096763,0.032258064
