country,group,dimension,birth,death,length
Austria,mixed,0,0,0.324999988,0.324999988
Austria,mixed,0,0,0.337500006,0.337500006
Austria,mixed,0,0,0.387499988,0.387499988
Austria,mixed,0,0,0.387499988,0.387499988
Austria,mixed,0,0,0.400000006,0.400000006
Austria,mixed,0,0,0.400000006,0.400000006
Austria,mixed,0,0,0.400000006,0.400000006
Austria,mixed,0,0,0.462500006,0.462500006
Austria,mixed,0,0,0.612500012,0.612500012
Austria,mixed,1,0.400000006,0.4375,0.037499994
Austria,mixed,1,0.400000006,0.412499994,0.012499988
Austria,nonrecombinant,0,0,0.324999988,0.324999988
Austria,nonrecombinant,0,0,0.337500006,0.337500006
Austria,nonrecombinant,0,0,0.387499988,0.387499988
Austria,nonrecombinant,0,0,0.387499988,0.387499988
Austria,nonrecombinant,0,0,0.400000006,0.400000006
Austria,nonrecombinant,0,0,0.400000006,0.400000006
Austria,nonrecombinant,0,0,0.400000006,0.400000006
Austria,nonrecombinant,0,0,0.462500006,0.462500006
Austria,nonrecombinant,0,0,0.612500012,0.612500012
Austria,nonrecombinant,1,0.400000006,0.4375,0.037499994
Austria,nonrecombinant,1,0.400000006,0.412499994,0.012499988
Austria,recombinant,0,0,0.324999988,0.324999988
Austria,recombinant,0,0,0.337500006,0.337500006
Austria,recombinant,0,0,0.387499988,0.387499988
Austria,recombinant,0,0,0.387499988,0.387499988
Austria,recombinant,0,0,0.400000006,0.400000006
Austria,recombinant,0,0,0.400000006,0.400000006
Austria,recombinant,0,0,0.400000006,0.400000006
Austria,recombinant,0,0,0.462500006,0.462500006
Austria,recombinant,0,0,0.612500012,0.612500012
Austria,recombinant,1,0.400000006,0.4375,0.037499994
Austria,recombinant,1,0.400000006,0.412499994,0.012499988
Denmark,mixed,0,0,0.06666667,0.06666667
Denmark,mixed,0,0,0.06666667,0.06666667
Denmark,mixed,0,0,0.13333334,0.13333334
Denmark,mixed,0,0,0.13333334,0.13333334
Denmark,mixed,0,0,0.13333334,0.13333334
Denmark,mixed,0,0,0.13333334,0.13333334
Denmark,mixed,0,0,0.13333334,0.13333334
Denmark,mixed,0,0,0.13333334,0.13333334
Denmark,mixed,0,0,0.200000003,0.200000003
Denmark,mixed,0,0,0.200000003,0.200000003
Denmark,mixed,0,0,0.200000003,0.200000003
Denmark,mixed,0,0,0.200000003,0.200000003
Denmark,mixed,0,0,0.666666687,0.666666687
Denmark,mixed,1,0.200000003,0.266666681,0.066666678
Denmark,nonrecombinant,0,0,0.06666667,0.06666667
Denmark,nonrecombinant,0,0,0.06666667,0.06666667
Denmark,nonrecombinant,0,0,0.13333334,0.13333334
Denmark,nonrecombinant,0,0,0.13333334,0.13333334
Denmark,nonrecombinant,0,0,0.13333334,0.13333334
Denmark,nonrecombinant,0,0,0.13333334,0.13333334
Denmark,nonrecombinant,0,0,0.13333334,0.13333334
Denmark,nonrecombinant,0,0,0.13333334,0.13333334
Denmark,nonrecombinant,0,0,0.200000003,0.200000003
Denmark,nonrecombinant,0,0,0.200000003,0.200000003
Denmark,nonrecombinant,0,0,0.200000003,0.200000003
Denmark,nonrecombinant,0,0,0.200000003,0.200000003
Denmark,nonrecombinant,0,0,0.666666687,0.666666687
Denmark,nonrecombinant,1,0.200000003,0.266666681,0.066666678
Denmark,recombinant,0,0,0.06666667,0.06666667
Denmark,recombinant,0,0,0.06666667,0.06666667
Denmark,recombinant,0,0,0.13333334,0.13333334
Denmark,recombinant,0,0,0.13333334,0.13333334
Denmark,recombinant,0,0,0.13333334,0.13333334
Denmark,recombinant,0,0,0.13333334,0.13333334
Denmark,recombinant,0,0,0.13333334,0.13333334
Denmark,recombinant,0,0,0.13333334,0.13333334
Denmark,recombinant,0,0,0.200000003,0.200000003
Denmark,recombinant,0,0,0.200000003,0.200000003
Denmark,recombinant,0,0,0.200000003,0.200000003
Denmark,recombinant,0,0,0.200000003,0.200000003
Denmark,recombinant,0,0,0.666666687,0.666666687
Denmark,recombinant,1,0.200000003,0.266666681,0.066666678
Germany,mixed,0,0,0.103448279,0.103448279
Germany,mixed,0,0,0.137931034,0.137931034
Germany,mixed,0,0,0.172413796,0.172413796
Germany,mixed,0,0,0.206896558,0.206896558
Germany,mixed,0,0,0.206896558,0.206896558
Germany,mixed,0,0,0.206896558,0.206896558
Germany,mixed,0,0,0.206896558,0.206896558
Germany,mixed,0,0,0.206896558,0.206896558
Germany,mixed,0,0,0.206896558,0.206896558
Germany,mixed,0,0,0.206896558,0.206896558
Germany,mixed,0,0,0.241379306,0.241379306
Germany,mixed,0,0,0.241379306,0.241379306
Germany,mixed,0,0,0.241379306,0.241379306
Germany,mixed,0,0,0.241379306,0.241379306
Germany,mixed,0,0,0.241379306,0.241379306
Germany,mixed,0,0,0.275862068,0.275862068
Germany,mixed,0,0,0.275862068,0.275862068
Germany,mixed,0,0,0.275862068,0.275862068
Germany,mixed,0,0,0.310344815,0.310344815
Germany,mixed,0,0,0.620689631,0.620689631
Germany,mixed,1,0.241379306,0.310344815,0.06896551
Germany,nonrecombinant,0,0,0.103448279,0.103448279
Germany,nonrecombinant,0,0,0.137931034,0.137931034
Germany,nonrecombinant,0,0,0.172413796,0.172413796
Germany,nonrecombinant,0,0,0.206896558,0.206896558
Germany,nonrecombinant,0,0,0.206896558,0.206896558
Germany,nonrecombinant,0,0,0.206896558,0.206896558
Germany,nonrecombinant,0,0,0.206896558,0.206896558
Germany,nonrecombinant,0,0,0.206896558,0.206896558
Germany,nonrecombinant,0,0,0.206896558,0.206896558
Germany,nonrecombinant,0,0,0.206896558,0.206896558
Germany,nonrecombinant,0,0,0.241379306,0.241379306
Germany,nonrecombinant,0,0,0.241379306,0.241379306
Germany,nonrecombinant,0,0,0.241379306,0.241379306
Germany,nonrecombinant,0,0,0.241379306,0.241379306
Germany,nonrecombinant,0,0,0.241379306,0.241379306
Germany,nonrecombinant,0,0,0.275862068,0.275862068
Germany,nonrecombinant,0,0,0.275862068,0.275862068
Germany,nonrecombinant,0,0,0.275862068,0.275862068
Germany,nonrecombinant,0,0,0.310344815,0.310344815
Germany,nonrecombinant,0,0,0.620689631,0.620689631
Germany,nonrecombinant,1,0.241379306,0.310344815,0.06896551
Germany,recombinant,0,0,0.103448279,0.103448279
Germany,recombinant,0,0,0.137931034,0.137931034
Germany,recombinant,0,0,0.172413796,0.172413796
Germany,recombinant,0,0,0.206896558,0.206896558
Germany,recombinant,0,0,0.206896558,0.206896558
Germany,recombinant,0,0,0.206896558,0.206896558
Germany,recombinant,0,0,0.206896558,0.206896558
Germany,recombinant,0,0,0.206896558,0.206896558
Germany,recombinant,0,0,0.206896558,0.206896558
Germany,recombinant,0,0,0.206896558,0.206896558
Germany,recombinant,0,0,0.241379306,0.241379306
Germany,recombinant,0,0,0.241379306,0.241379306
Germany,recombinant,0,0,0.241379306,0.241379306
Germany,recombinant,0,0,0.241379306,0.241379306
Germany,recombinant,0,0,0.241379306,0.241379306
Germany,recombinant,0,0,0.275862068,0.275862068
Germany,recombinant,0,0,0.275862068,0.275862068
Germany,recombinant,0,0,0.275862068,0.275862068
