group,dimension,birth,death,length
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,2,2
nonrecombinant,0,0,2,2
nonrecombinant,0,0,2,2
nonrecombinant,0,0,2,2
nonrecombinant,0,0,2,2
nonrecombinant,0,0,2,2
nonrecombinant,0,0,2,2
nonrecombinant,0,0,2,2
nonrecombinant,0,0,2,2
nonrecombinant,0,0,2,2
nonrecombinant,0,0,3,3
nonrecombinant,0,0,3,3
nonrecombinant,0,0,3,3
nonrecombinant,0,0,3,3
nonrecombinant,0,0,4,4
nonrecombinant,0,0,5,5
nonrecombinant,0,0,7,7
nonrecombinant,0,0,9,9
nonrecombinant,0,0,22,22
nonrecombinant,0,0,26,26
