group,dimension,birth,death,length
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,3,3
recombinant,0,0,3,3
recombinant,0,0,3,3
recombinant,0,0,3,3
recombinant,0,0,4,4
recombinant,0,0,5,5
recombinant,0,0,7,7
recombinant,0,0,9,9
recombinant,0,0,22,22
recombinant,0,0,26,26
