group,dimension,birth,death,length
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,4,4
mixed,0,0,4,4
mixed,0,0,4,4
mixed,0,0,4,4
mixed,0,0,4,4
mixed,0,0,4,4
mixed,0,0,6,6
mixed,0,0,8,8
mixed,0,0,8,8
mixed,0,0,12,12
mixed,1,8,10,2
mixed,1,2,4,2
