group,dimension,birth,death,length
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,4,4
recombinant,0,0,4,4
recombinant,0,0,4,4
recombinant,0,0,4,4
recombinant,0,0,4,4
recombinant,0,0,4,4
recombinant,0,0,6,6
recombinant,0,0,8,8
recombinant,0,0,8,8
recombinant,0,0,12,12
recombinant,1,8,10,2
recombinant,1,2,4,2
