group,dimension,birth,death,length
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,2,2
mixed,0,0,4,4
mixed,0,0,4,4
mixed,0,0,4,4
mixed,0,0,4,4
mixed,0,0,4,4
mixed,0,0,4,4
mixed,0,0,4,4
mixed,0,0,4,4
mixed,0,0,6,6
mixed,0,0,8,8
