group,dimension,birth,death,length
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,2,2
recombinant,0,0,4,4
recombinant,0,0,4,4
recombinant,0,0,4,4
recombinant,0,0,4,4
recombinant,0,0,4,4
recombinant,0,0,4,4
recombinant,0,0,4,4
recombinant,0,0,4,4
recombinant,0,0,6,6
recombinant,0,0,8,8
