group,dimension,birth,death,length
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,1,1
nonrecombinant,0,0,3,3
nonrecombinant,0,0,3,3
nonrecombinant,0,0,3,3
nonrecombinant,0,0,3,3
nonrecombinant,0,0,3,3
nonrecombinant,0,0,4,4
nonrecombinant,0,0,4,4
nonrecombinant,0,0,4,4
nonrecombinant,0,0,4,4
nonrecombinant,0,0,5,5
nonrecombinant,0,0,5,5
nonrecombinant,0,0,5,5
nonrecombinant,0,0,5,5
nonrecombinant,0,0,5,5
nonrecombinant,0,0,8,8
nonrecombinant,0,0,11,11
nonrecombinant,0,0,16,16
