group,dimension,birth,death,length
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,1,1
recombinant,0,0,3,3
recombinant,0,0,3,3
recombinant,0,0,3,3
recombinant,0,0,3,3
recombinant,0,0,3,3
recombinant,0,0,4,4
recombinant,0,0,4,4
recombinant,0,0,4,4
recombinant,0,0,4,4
recombinant,0,0,5,5
recombinant,0,0,5,5
recombinant,0,0,5,5
recombinant,0,0,5,5
recombinant,0,0,5,5
recombinant,0,0,8,8
recombinant,0,0,11,11
recombinant,0,0,16,16
